순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
595,서승덕(대구고),14,0.115,35,26,3,0,0,0,2,5,7,7,0.303,0.115,5
597,최현진(성지고),16,0.114,52,44,5,0,1,0,5,4,7,11,0.235,0.159,3
598,윤성진(선린인고),18,0.113,62,53,6,2,0,0,2,4,7,13,0.213,0.151,0
599,박범서(설악고),19,0.111,58,45,5,0,1,0,4,2,12,17,0.298,0.156,1
600,조민서(청담고),15,0.109,58,46,5,0,0,0,0,5,11,19,0.281,0.109,0
601,이주노(백송고),17,0.108,45,37,4,1,0,0,0,2,8,7,0.267,0.135,0
602,박정식(울산공고),13,0.105,49,38,4,1,0,0,1,6,9,11,0.271,0.132,2
603,전태경(서울디자인고),17,0.104,55,48,5,0,0,0,1,5,7,14,0.218,0.104,0
603,왕현(상우고),15,0.104,58,48,5,0,0,0,5,1,8,24,0.232,0.104,0
605,평은규(상우고),15,0.103,48,39,4,0,0,0,1,0,5,7,0.205,0.103,0
606,지승환(설악고),19,0.098,49,41,4,0,0,0,1,0,4,19,0.178,0.098,0
607,선우인섭(부천고),17,0.095,50,42,4,0,0,0,7,4,4,12,0.174,0.095,1
608,백인우(강원고),14,0.094,40,32,3,0,0,0,0,4,7,6,0.256,0.094,0
608,금종훈(김해고),13,0.094,45,32,3,0,0,0,1,7,10,8,0.31,0.094,0
610,김태현(중앙고),16,0.083,44,36,3,0,0,0,1,2,5,13,0.19,0.083,2
611,이연진(인창고),14,0.081,40,37,3,0,1,0,1,1,2,17,0.125,0.135,1
612,윤여상(광주제일고),20,0.077,63,52,4,1,0,0,3,6,9,22,0.213,0.096,2
613,왕재웅(물금고),13,0.051,51,39,2,0,0,0,1,4,9,13,0.229,0.051,3
614,전병권(유신고),21,0.047,53,43,2,0,0,0,4,4,3,3,0.109,0.047,1
615,정하준(광천고),1,0,3,3,0,0,0,0,0,0,0,1,0,0,0
615,길하늘(광천고),1,0,3,3,0,0,0,0,0,0,0,1,0,0,0
615,하종현(광천고),1,0,3,2,0,0,0,0,0,0,1,2,0.333,0,0
615,김정훈(광천고),1,0,3,3,0,0,0,0,0,0,0,1,0,0,0
615,박현우(광천고),1,0,3,3,0,0,0,0,0,0,0,2,0,0,0
